nct_id,id,name
NCT04402957,11486643,turkey
NCT04402957,11486644,united states
NCT04402944,11486645,united states
NCT04402918,11486647,france
NCT04402879,11486649,canada
NCT04402853,11486654,italy
NCT04402840,11486655,united states
NCT04402827,11486656,spain
NCT04402814,11486657,united states
NCT04402229,11486713,france
NCT04402203,11486715,bangladesh
NCT04402060,11486725,brazil
NCT04710329,12110363,turkey
NCT04723394,12110335,united kingdom
NCT04694014,11464684,kenya
NCT04693975,11464689,brazil
NCT04693052,11464741,united states
NCT04693026,11464743,bangladesh
NCT04691947,11464816,turkey
NCT04691934,11464817,turkey
NCT04691908,11464820,kazakhstan
NCT04691895,11464821,italy
NCT04691609,11464835,egypt
NCT04691180,11464864,china
NCT04690920,11464876,pakistan
NCT04690413,11464907,united states
NCT04690387,11464908,indonesia
NCT04690114,11464925,israel
NCT04689724,11464947,canada
NCT04689711,11464948,united states
NCT04689672,11464951,italy
NCT04689490,11464964,spain
NCT04689477,11464965,brazil
NCT04689477,11464966,mexico
NCT04689477,11464967,spain
NCT04689464,11464968,iraq
NCT04688840,11465006,egypt
NCT04688502,11465025,canada
NCT04687488,11465087,belgium
NCT04686773,11465130,azerbaijan
NCT04686760,11465131,pakistan
NCT04686747,11465132,italy
NCT04686721,11465133,italy
NCT04686708,11465134,turkey
NCT04686409,11465152,germany
NCT04685603,11465219,indonesia
NCT04685512,11465226,france
NCT04685447,11465229,italy
NCT04685213,11465244,united states
NCT04684836,11465266,united states
NCT04684602,11465282,united states
NCT04684433,11465297,belgium
NCT04683744,11465336,united states
NCT04683484,11465349,vietnam
NCT04682873,11465390,ukraine
NCT04682574,11465409,pakistan
NCT04682561,11465410,canada
NCT04682132,11465434,united states
NCT04682093,11465437,croatia
NCT04682093,11465438,finland
NCT04682093,11465439,france
NCT04682093,11465440,greece
NCT04682093,11465441,italy
NCT04682093,11465442,belgium
NCT04681950,11465449,united states
NCT04681859,11465455,bangladesh
NCT04681755,11465461,france
NCT04681261,11465487,turkey
NCT04681157,11465496,france
NCT04681092,11465499,netherlands
NCT04681079,11465500,united states
NCT04681040,11465501,brazil
NCT04681040,11465502,denmark
NCT04681040,11465503,japan
NCT04681040,11465504,philippines
NCT04681040,11465505,united states
NCT04681001,11465508,austria
NCT04680858,11465514,germany
NCT04679584,11465594,germany
NCT04679493,11465600,russian federation
NCT04679428,11465603,slovenia
NCT04679415,11465604,indonesia
NCT04679350,11465607,korea
NCT04679272,11465612,france
NCT04679168,11465619,korea
NCT04678778,11465641,united states
NCT04678739,11465644,bangladesh
NCT04678193,11465674,india
NCT04678193,11465675,sweden
NCT04678193,11465676,united states
NCT04678024,11465687,italy
NCT04677283,11465746,france
NCT04677270,11465747,sweden
NCT04676971,11465784,italy
NCT04676971,11465785,russian federation
NCT04676867,11465792,canada
NCT04675281,11465883,france
NCT04675086,11465896,united states
NCT04674553,11465930,pakistan
NCT04674410,11465940,united states
NCT04674189,11465954,germany
NCT04673331,11466021,turkey
NCT04673279,11466023,argentina
NCT04673214,11466028,mexico
NCT04673162,11466032,italy
NCT04673149,11466033,korea
NCT04672564,11466064,argentina
NCT04672564,11466065,brazil
NCT04672564,11466066,colombia
NCT04672564,11466067,india
NCT04672564,11466068,mexico
NCT04672564,11466069,peru
NCT04672564,11466070,philippines
NCT04672564,11466071,ukraine
NCT04672564,11466072,united states
NCT04672343,11466097,france
NCT04670328,11466225,pakistan
NCT04670094,11466247,italy
NCT04669990,11466254,nepal
NCT04669938,11466257,france
NCT04669925,11466258,italy
NCT04669509,11466286,turkey
NCT04669054,11466313,france
NCT04668937,11466321,france
NCT04668469,11466351,egypt
NCT04668404,11466354,india
